status,hCurrTxFault,hCurrRxFault,lCurrTxFault,lCurrRxFault,hSigDetect,hDspLock,lSigDetect,lDspLock,CTLE C112GX4_CTLE_CAP1_SEL_0,CTLE C112GX4_CTLE_CAP1_SEL_1,CTLE C112GX4_CTLE_CAP2_SEL_0,CTLE C112GX4_CTLE_CAP2_SEL_1,RX_FW_LOCK,TX_FW_LOCK,RX_SIG_DET
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x3,0xF,0x3,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x1F,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x15,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x1F,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x17,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x4,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0xA,0xF,0x5,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
1,1,0,0,0,0,0,1,0,0x1F,0x6,0xF,0x7,1,1,1
