Link status,hCurrTxFault,hCurrRxFault,lCurrTxFault,lCurrRxFault,hSigDetect,hDspLock,lSigDetect,lDspLock,CTLE C112GX4_CTLE_CAP1_SEL_0,CTLE C112GX4_CTLE_CAP1_SEL_1,CTLE C112GX4_CTLE_CAP1_SEL_2,CTLE C112GX4_CTLE_CAP1_SEL_3,RX_FW_LOCK,TX_FW_LOCK,TX_FW_LOCK
1,1,0,0,0,0,0,1,0,0x1F,0x6,0x7,0x8,1,1,2
1,1,0,0,0,0,0,1,0,0x1F,0x3,0x4,0x5,1,1,2
1,1,0,0,0,0,0,1,0,0x1F,0x4,0x5,0x6,1,1,2
1,1,0,0,0,0,0,1,0,0x1F,0x6,0x7,0x8,1,1,2
1,1,0,0,0,0,0,1,0,0x1F,0x4,0x5,0x6,1,1,2
1,1,0,0,0,0,0,1,0,0x1F,0x4,0x5,0x6,1,1,2
1,1,0,0,0,0,0,1,0,0x1F,0x6,0x7,0x8,1,1,2
1,1,0,0,0,0,0,1,0,0x1F,0x6,0x7,0x8,1,1,2
1,1,0,0,0,0,0,1,0,0x1F,0x4,0x5,0x6,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x3E,0x5,0x6,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x3F,0x5,0x6,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x3D,0x5,0x6,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x30,0x5,0x6,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x3A,0x18,0x19,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x3C,0x5,0x6,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x3E,0x7,0x8,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x3F,0xA,0xA,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x3D,0x7,0x8,1,1,2
0,1,0,0,0,0,0,1,0,0x1F,0x30,0x7,0x8,1,1,2
